category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Clean Technology,15350000.0,operating,IND,Gurgaon,2,2011-07-05,2012-10-23,2010,operating,0,1,0
Education|Universities,,operating,USA,Mountain View,1,2013-07-29,2013-07-29,2012,operating,0,1,0
Software,200794.0,operating,ARG,Buenos Aires,3,2012-11-29,2013-09-04,2010,operating,0,1,0
E-Commerce|FinTech|Mobile Commerce,135000.0,operating,USA,Lewes,1,2013-08-01,2013-08-01,2015,operating,0,1,0
Hardware|Nanotechnology|Semiconductors,44310000.0,acquired,USA,Austin,4,2004-04-14,2014-04-25,2001,success,0,0,1
Aerospace|Services|Transportation|Travel,100000000.0,operating,IND,Haryana,1,2008-08-12,2008-08-12,2005,operating,0,1,0
Clean Technology,1250000.0,operating,USA,Reno,3,2008-02-15,2008-12-08,2005,operating,0,1,0
Hardware + Software,3833534.0,operating,USA,Chattanooga,5,2012-06-01,2014-02-25,2009,operating,0,1,0
Enterprise Software|Mobile Commerce|Mobile Payments,307161792.0,operating,USA,Austin,4,2011-03-14,2014-10-22,2008,operating,0,1,0
Analytics|Bicycles|Electric Vehicles,566956.0,operating,DEU,Berlin,3,2012-08-14,2015-06-29,2014,operating,0,1,0
Curated Web|Recruiting|Staffing Firms|Tutoring,39500.0,acquired,USA,San Francisco,2,2014-07-21,2015-06-22,2001,success,0,0,1
Assisitive Technology|Energy|Food Processing,3088720.0,operating,USA,Austin,6,2010-07-01,2015-02-27,2007,operating,0,1,0
Advertising|Big Data Analytics|Psychology,100000.0,operating,MEX,Mexico City,1,2015-01-27,2015-01-27,2014,operating,0,1,0
Software,13000000.0,operating,FRA,Paris,1,2005-10-11,2005-10-11,1994,operating,0,1,0
Online Scheduling|Project Management|Software,280000.0,operating,CAN,Ottawa,1,2005-01-01,2005-01-01,2005,operating,0,1,0
Mobile Games|Social Games|Video Games,,operating,PRT,Lisbon,1,2015-03-31,2015-03-31,2013,operating,0,1,0
Classifieds|Curated Web|Video,10000.0,closed,IND,Mumbai,1,2007-07-01,2007-07-01,2007,fail,1,0,0
Mobile,40000.0,operating,CHL,Santiago,2,2012-03-05,2013-02-01,2011,operating,0,1,0
Software,1000000.0,closed,ISR,Rosh Ha'ayin,1,2000-12-22,2000-12-22,2012,fail,1,0,0
Advertising|Content Syndication|Film|Software|Television|Web Development,10000000.0,operating,USA,San Francisco,1,2010-01-01,2010-01-01,2006,operating,0,1,0
Advertising,50000.0,operating,USA,Chicago,1,2012-08-13,2012-08-13,2008,operating,0,1,0
Bitcoin|Mobile Payments|Payments,1373909.0,acquired,GBR,London,1,2014-02-25,2014-02-25,2014,success,0,0,1
Advertising|Advertising Platforms|Media|Mobile|Mobile Advertising|Social Media Advertising,50000.0,acquired,ARG,Buenos Aires,1,2014-09-01,2014-09-01,2013,success,0,0,1
Analytics|Big Data Analytics|IT and Cybersecurity,,acquired,USA,San Francisco,1,2013-06-10,2013-06-10,2013,success,0,0,1
Digital Media|Media|Services,1723157.0,operating,USA,San Francisco,2,2014-10-01,2015-05-01,2014,operating,0,1,0
Business Services|Market Research|Social Media,50000.0,closed,USA,San Francisco,1,2011-02-28,2011-02-28,2011,fail,1,0,0
E-Books|News|Publishing,850000.0,acquired,USA,Las Vegas,3,2011-10-05,2013-06-14,2011,success,0,0,1
Hardware + Software,25500000.0,operating,USA,Fremont,2,2004-02-10,2005-01-01,2000,operating,0,1,0
Electronic Health Records|Software,50500000.0,operating,USA,Rockville,4,2014-08-06,2015-10-14,2000,operating,0,1,0
Internet|Services|Technology,28000000.0,acquired,USA,San Francisco,1,1999-11-30,1999-11-30,2012,success,0,0,1
Biotechnology,3216500.0,operating,USA,Cambridge,1,2013-07-24,2013-07-24,2006,operating,0,1,0
Dietary Supplements|Health Care|Nutrition,80000.0,operating,USA,Los Angeles,1,2014-08-01,2014-08-01,2014,operating,0,1,0
Application Platforms|Email|Enterprise Application|Privacy|Social Network Media|Technology,1500000.0,operating,USA,New York,1,2014-09-08,2014-09-08,2014,operating,0,1,0
Nanotechnology|Semiconductors,1890000.0,operating,ESP,Terrassa,1,2010-05-12,2010-05-12,2012,operating,0,1,0
Hardware + Software,1010000.0,operating,GBR,Heslington,1,2008-12-08,2008-12-08,2005,operating,0,1,0
Architecture|Design|Home Renovation|Real Estate,10000.0,operating,USA,San Francisco,1,2015-04-15,2015-04-15,2014,operating,0,1,0
Hardware + Software,63500000.0,acquired,USA,Roseland,4,2000-10-11,2008-08-26,2012,success,0,0,1
Fitness|Health and Wellness|Health Care,378995.0,closed,BEL,Liège,1,2015-01-16,2015-01-16,2012,fail,1,0,0
Health Diagnostics|Software|Wireless,,acquired,USA,Sunnyvale,1,2005-01-27,2005-01-27,2012,success,0,0,1
Clean Technology,17500000.0,operating,USA,San Francisco,2,2008-05-01,2008-06-25,1997,operating,0,1,0
Software,,operating,USA,New York,1,2014-05-27,2014-05-27,2012,operating,0,1,0
Biotechnology,6000000.0,operating,USA,La Jolla,1,2014-04-21,2014-04-21,2014,operating,0,1,0
Advertising,10000000.0,closed,CHN,Beijing,1,2007-06-29,2007-06-29,2005,fail,1,0,0
Internet|Sports|Technology,,closed,USA,Miami,1,2015-07-01,2015-07-01,2014,fail,1,0,0
E-Commerce,75000000.0,closed,USA,Malibu,1,2014-03-31,2014-03-31,1995,fail,1,0,0
Biotechnology|Business Analytics|Enterprise Software|Healthcare Services|Information Technology|Marketplaces|Pharmaceuticals|SaaS,,operating,IND,Mumbai,1,2015-01-01,2015-01-01,2015,operating,0,1,0
Software,890000.0,operating,USA,Seattle,1,2015-08-18,2015-08-18,2012,operating,0,1,0
Advertising|Sales and Marketing,18734312.0,acquired,USA,Reston,3,2008-12-04,2011-06-20,1999,success,0,0,1
Biotechnology,10000000.0,operating,USA,Cambridge,1,2011-01-10,2011-01-10,2011,operating,0,1,0
Collaboration|Communities|Marketplaces|Social Commerce|Specialty Retail,400000.0,operating,USA,Kensington,1,2015-04-01,2015-04-01,2015,operating,0,1,0
Printing,16600216.0,operating,USA,Sussex,2,2014-10-23,2015-01-06,1926,operating,0,1,0
Business Productivity|Collaboration|Enterprises|Enterprise Software|Messaging|Mobile|Unifed Communications,10000000.0,operating,USA,New York,4,2012-03-01,2014-05-28,2011,operating,0,1,0
Business Services|Design|Enterprises,36519.0,operating,KOR,Seoul,1,2013-02-12,2013-02-12,2013,operating,0,1,0
Analytics|Curated Web|Developer APIs|Social Commerce,,operating,USA,New York,1,2012-03-01,2012-03-01,2012,operating,0,1,0
Technology,85000000.0,operating,USA,Atlanta,3,2012-07-30,2015-09-18,2008,operating,0,1,0
Brand Marketing|Business Analytics|Promotional|Public Relations|Social Media,2000000.0,operating,USA,San Francisco,2,2012-02-01,2015-06-29,2012,operating,0,1,0
Social Media,,operating,USA,Sunnyvale,1,2012-09-01,2012-09-01,2012,operating,0,1,0
Media,,operating,USA,San Francisco,1,2015-08-12,2015-08-12,2015,operating,0,1,0
Biotechnology|Health Diagnostics,8317643.0,operating,USA,North Kingstown,1,2010-12-30,2010-12-30,1997,operating,0,1,0
Media|Mobile|Video,10268000.0,operating,USA,Portland,5,2012-10-08,2015-05-12,2012,operating,0,1,0
Finance|FinTech,,operating,USA,Kahului,1,2014-07-02,2014-07-02,2013,operating,0,1,0
Software,,operating,FIN,Espoo,1,2014-09-30,2014-09-30,1992,operating,0,1,0
Enterprise Software|Location Based Services|Navigation|Software,56063148.0,acquired,USA,San Jose,6,2005-03-17,2012-07-18,1996,success,0,0,1
Real Estate,40000.0,operating,USA,Lansing,1,2015-01-07,2015-01-07,2014,operating,0,1,0
Hospitality,,operating,USA,Loveland,1,2012-03-29,2012-03-29,2012,operating,0,1,0
Curated Web|Photography,15200000.0,closed,USA,New York,2,2005-06-14,2007-02-05,2012,fail,1,0,0
Advertising,4400000.0,acquired,USA,San Francisco,2,2011-01-01,2011-02-01,2011,success,0,0,1
Software,,closed,USA,Boca Raton,1,1992-03-03,1992-03-03,1985,fail,1,0,0
Computers|EdTech|Education,,ipo,USA,Los Gatos,1,1999-06-04,1999-06-04,1992,success,0,0,1
Curated Web,,operating,USA,New York,1,2012-09-02,2012-09-02,2012,operating,0,1,0
Semiconductors,27400000.0,acquired,USA,San Jose,2,2011-12-19,2014-03-24,2012,success,0,0,1
Automotive|Electric Vehicles|Public Transportation,290956.0,operating,GBR,London,1,2013-10-28,2013-10-28,2015,operating,0,1,0
Software,3750000.0,operating,USA,Boxborough,1,2008-02-28,2008-02-28,2007,operating,0,1,0
Electrical Distribution|Mechanical Solutions|Test and Measurement,50000.0,operating,USA,Cambridge,1,2013-10-30,2013-10-30,2012,operating,0,1,0
Staffing Firms,500000.0,operating,IND,Mumbai,1,2015-10-06,2015-10-06,2015,operating,0,1,0
Software,713000.0,operating,USA,Cambridge,1,2012-02-03,2012-02-03,2009,operating,0,1,0
Analytics,57000000.0,acquired,USA,Emeryville,2,2004-04-01,2008-07-29,1994,success,0,0,1
Business Services|Collaboration|Hotels|Internet|Online Travel|Ticketing|Transportation|Travel,77336990.0,ipo,USA,Norwalk,3,1998-02-01,1998-12-01,1998,success,0,0,1
EdTech|Education,3900000.0,operating,USA,Pittsburgh,1,2013-11-12,2013-11-12,2012,operating,0,1,0
Advertising|Crowdsourcing|Curated Web|Networking|Semantic Search,500000.0,closed,USA,San Francisco,1,2011-04-28,2011-04-28,2011,fail,1,0,0
Medical,200000.0,operating,USA,Boca Raton,1,2015-06-08,2015-06-08,2014,operating,0,1,0
Biotechnology,768000.0,operating,DEU,Aachen,3,2006-07-04,2013-11-07,2005,operating,0,1,0
Advertising|Analytics|Concerts|Events|Music|Ticketing,615000.0,operating,USA,New York,2,2012-05-20,2013-02-20,2012,operating,0,1,0
Clean Technology,33000000.0,operating,USA,Rancho Dominguez,2,2008-05-19,2011-02-14,2012,operating,0,1,0
Mobile|Networking|Retail,80000.0,operating,ZAF,Cape Town,1,2013-08-20,2013-08-20,2012,operating,0,1,0
Analytics,4300000.0,acquired,USA,Santa Clara,1,2012-03-29,2012-03-29,2012,success,0,0,1
Mechanical Solutions|Outsourcing|Technology,18128852.0,operating,GBR,Norwich,1,2013-03-27,2013-03-27,2007,operating,0,1,0
Advertising Platforms|Chat|Social Network Media|Teenagers,,operating,NGA,Awka,1,2014-03-02,2014-03-02,2013,operating,0,1,0
Medical,,operating,NZL,Auckland,1,2012-04-01,2012-04-01,2011,operating,0,1,0
Semiconductors,,operating,USA,Dallas,1,2003-02-12,2003-02-12,2012,operating,0,1,0
Events,50000.0,operating,USA,Nashville,1,2012-11-01,2012-11-01,2012,operating,0,1,0
Banking|Financial Services|FinTech|Internet|Real Time|Recruiting|Technology,5200000.0,operating,USA,New York,4,2013-10-31,2015-04-21,2013,operating,0,1,0
Advertising|Brand Marketing|Neuroscience|Sales and Marketing|Twitter Applications,227287.0,operating,GBR,London,1,2014-04-17,2014-04-17,2013,operating,0,1,0
Banking|Finance|Financial Services,12800000.0,ipo,USA,Fairfax,1,2014-12-30,2014-12-30,2012,success,0,0,1
Hotels|Local Search|Online Reservations|Reviews and Recommendations|Ticketing,200000000.0,operating,CHN,Beijing,1,2014-04-28,2014-04-28,2012,operating,0,1,0
Health Care|Health Diagnostics,6321095.0,operating,GBR,Forres,1,2011-09-15,2011-09-15,2008,operating,0,1,0
Hardware + Software,4000000.0,operating,FIN,Helsinki,2,2014-03-01,2015-06-01,2013,operating,0,1,0
Business Services|Enterprise Software,7500000.0,operating,USA,San Ramon,2,2007-08-21,2007-08-21,2000,operating,0,1,0
Banking|Financial Services|FinTech|Technology,8199999.0,operating,USA,San Francisco,1,2014-05-20,2014-05-20,2012,operating,0,1,0
Enterprise Software,15790000.0,operating,ESP,Barcelona,2,2005-01-07,2006-04-18,2000,operating,0,1,0
Internet|Retail|Wine And Spirits,600000.0,operating,RUS,San Francisco,2,2013-02-01,2013-12-13,2012,operating,0,1,0
Software,,operating,USA,San Francisco,1,2010-03-30,2010-03-30,2012,operating,0,1,0
Pharmaceuticals,565962.0,operating,FRA,Strasbourg,1,2015-02-10,2015-02-10,2011,operating,0,1,0
Clean Technology,21250000.0,operating,USA,Bloomfield,5,2007-07-23,2013-07-22,2003,operating,0,1,0
Mobile|Mobile Advertising|Photo Sharing|Social Media,9000000.0,operating,USA,San Francisco,3,2014-04-22,2015-05-07,2013,operating,0,1,0
Clean Technology,4000000.0,operating,USA,Boulder,2,2008-09-04,2009-05-29,2012,operating,0,1,0
Automotive|Business Services|Customer Service,1000.0,operating,CAN,Richmond,1,2014-03-16,2014-03-16,2011,operating,0,1,0
E-Commerce,,operating,USA,Sunset,1,2012-02-02,2012-02-02,2011,operating,0,1,0
Biotechnology,52000000.0,operating,USA,San Francisco,1,2015-10-15,2015-10-15,2015,operating,0,1,0
Recruiting|Web Development,51981.0,operating,CAN,Toronto,1,2015-03-01,2015-03-01,2015,operating,0,1,0
E-Commerce,75000000.0,acquired,USA,Conshohocken,1,2013-08-19,2013-08-19,2010,success,0,0,1
Biotechnology,93000000.0,acquired,USA,South San Francisco,2,2005-07-01,2006-11-08,2012,success,0,0,1
Software,1880000.0,operating,USA,San Francisco,1,2006-10-13,2006-10-13,2012,operating,0,1,0
Clean Technology,15021489.0,operating,USA,Alpharetta,4,2008-06-10,2013-02-01,1996,operating,0,1,0
E-Commerce,,operating,USA,Hanover,1,2013-01-06,2013-01-06,2012,operating,0,1,0
Food Processing|Hospitality|Restaurants|Retail,,operating,USA,Rockville,1,2015-01-02,2015-01-02,2015,operating,0,1,0
Consumer Electronics|Hardware + Software|Marketplaces,220000.0,operating,USA,Santa Monica,2,2012-03-20,2014-02-23,2012,operating,0,1,0
Health and Wellness,40000000.0,operating,USA,New York,1,2014-01-09,2014-01-09,2012,operating,0,1,0
Curated Web,,operating,GBR,London,1,2005-03-01,2005-03-01,2012,operating,0,1,0
Software,,closed,USA,San Francisco,1,2014-09-26,2014-09-26,2012,fail,1,0,0
Software,,operating,USA,San Francisco,1,2014-09-08,2014-09-08,2012,operating,0,1,0
Hospitality,25000.0,closed,USA,San Antonio,1,2009-08-05,2009-08-05,2009,fail,1,0,0
Biotechnology,365872959.0,closed,USA,San Diego,6,2007-04-04,2012-05-24,1998,fail,1,0,0
Apps|Computers|Software,54857.2431675304,operating,BGR,Sofia,1,2015-08-01,2015-08-01,2014,operating,0,1,0
Mobile,,closed,USA,Long Beach,1,2005-05-15,2005-05-15,2012,fail,1,0,0
Advertising|Analytics|Big Data|Sales and Marketing,1824993.0,operating,USA,Brooklyn,1,2013-12-03,2013-12-03,2013,operating,0,1,0
Advertising,9100000.0,closed,GBR,London,1,2009-10-01,2009-10-01,2012,fail,1,0,0
Auto|Automotive|Cars,10850000.0,closed,USA,Burlingame,4,2009-06-01,2011-12-01,2008,fail,1,0,0
Biotechnology,80500000.0,closed,USA,Carlsbad,2,2006-04-21,2009-05-22,1997,fail,1,0,0
Online Gaming,15000000.0,operating,IND,Delhi,1,2014-06-04,2014-06-04,2006,operating,0,1,0
Security,113000000.0,operating,USA,Atlanta,1,2013-05-14,2013-05-14,2008,operating,0,1,0
Games,18238879.0,operating,USA,Gainesville,1,2012-07-31,2012-07-31,2009,operating,0,1,0
Advertising,825800.0,operating,GBR,Harrogate,2,2008-12-19,2009-11-19,2000,operating,0,1,0
Home Automation,300000.0,operating,FIN,Varkaus,2,2010-02-08,2013-04-10,2010,operating,0,1,0
Clean Technology|Renewable Energies,20000000.0,closed,CHN,Shenzhen,1,2008-10-28,2008-10-28,1993,fail,1,0,0
Health Care,50000000.0,acquired,USA,Sunnyvale,1,2007-05-16,2007-05-16,2003,success,0,0,1
Software,10650403.3139571,operating,CAN,Burnaby,1,2015-09-30,2015-09-30,1983,operating,0,1,0
Music|Social Network Media,76000000.0,operating,USA,New York,7,2007-05-24,2014-09-18,2005,operating,0,1,0
Finance,1000000.0,operating,USA,Scottsdale,1,2012-08-02,2012-08-02,2011,operating,0,1,0
Advertising,45000.0,operating,CAN,Brantford,1,2014-09-02,2014-09-02,2009,operating,0,1,0
News,3700000.0,operating,USA,Cambridge,2,2010-09-08,2015-05-12,2003,operating,0,1,0
Mobile,3200000.0,operating,ISR,Yoqne`am `illit,1,2015-02-15,2015-02-15,2008,operating,0,1,0
Biotechnology,41500000.0,operating,USA,San Diego,2,2015-01-30,2015-11-02,2008,operating,0,1,0
Software,1000000.0,closed,USA,Clearwater,1,2006-12-27,2006-12-27,2012,fail,1,0,0
E-Commerce|Retail,23795619.7023816,operating,USA,San Francisco,2,2014-10-07,2015-09-09,2013,operating,0,1,0
Clean Technology,10000000.0,operating,CHN,Qingdao Shi,1,2008-04-21,2008-04-21,2001,operating,0,1,0
Productivity Software|Project Management,130855.0,operating,BGR,Sofia,3,2014-01-28,2014-12-01,2012,operating,0,1,0
Real Estate,30000000.0,operating,IND,Gurgaon,1,2014-11-25,2014-11-25,2011,operating,0,1,0
Interest Graph|Social Media,22664.0,closed,USA,San Francisco,1,2011-01-01,2011-01-01,2011,fail,1,0,0
Wine And Spirits,5000000.0,operating,USA,Novato,1,2007-10-16,2007-10-16,1999,operating,0,1,0
Advertising,,operating,CHN,Shanghai,1,2004-11-01,2004-11-01,2012,operating,0,1,0
Music|Social Network Media|Startups|Web Tools,10000.0,operating,HUN,Budapest,1,2010-10-01,2010-10-01,2010,operating,0,1,0
Enterprise Software,2850000.0,ipo,USA,New York,1,2011-06-21,2011-06-21,1991,success,0,0,1
Curated Web,75176.0,operating,GBR,Cambridge,1,2013-03-03,2013-03-03,2012,operating,0,1,0
Analytics|Big Data|Big Data Analytics|Business Intelligence|Data Integration|Real Time,32000000.0,operating,USA,Palo Alto,3,2012-05-01,2015-09-14,2012,operating,0,1,0
Health and Wellness,10880089.0,operating,USA,Washington,3,2014-02-26,2014-12-08,2012,operating,0,1,0
Manufacturing,17000000.0,acquired,USA,Danvers,2,2008-11-24,2012-01-11,2004,success,0,0,1
Health Care,24750000.0,acquired,USA,Bothell,4,2001-07-30,2007-08-29,1999,success,0,0,1
Collaboration|Creative|Curated Web|Music,15400000.0,operating,IND,Bangalore,2,2012-02-14,2015-01-16,2011,operating,0,1,0
Energy Management|Enterprise Software|Environmental Innovation|Manufacturing|Software Compliance|Supply Chain Management|Surveys|Sustainability,250000.0,operating,USA,San Francisco,1,2011-12-16,2011-12-16,2009,operating,0,1,0
Application Performance Monitoring|Business Productivity|Computers|Corporate IT|Enterprise Software|IT Management|Licensing|Productivity|Productivity Software|SaaS|Security|Service Providers|Small and Medium Businesses|Software Compliance,462166.194963709,operating,FIN,Helsinki,1,2013-01-01,2013-01-01,2012,operating,0,1,0
Content|Crowdsourcing|Guides|Mobile|Software|Travel,100000.0,closed,USA,San Francisco,1,2012-07-03,2012-07-03,2012,fail,1,0,0
Browser Extensions|Curated Web|Mobile|Productivity Software|Real Estate|SaaS|Sales and Marketing,137945.0,operating,USA,New York,1,2014-08-31,2014-08-31,2014,operating,0,1,0
Biotechnology,25860032.0,operating,USA,Roswell,3,2013-10-15,2015-01-16,2001,operating,0,1,0
Developer APIs,100000.0,operating,GBR,San Francisco,2,2013-09-01,2014-12-03,2013,operating,0,1,0
E-Commerce|Marketplaces,,operating,FRA,Paris,1,2013-09-04,2013-09-04,2013,operating,0,1,0
Broadcasting,,operating,SWE,Stockholm,1,2015-04-23,2015-04-23,2012,operating,0,1,0
Apps|Mobile|Software,22623720.0,operating,USA,Austin,5,2010-12-30,2015-07-29,2010,operating,0,1,0
Health Care,1500000.0,operating,USA,Santa Monica,1,2011-04-06,2011-04-06,2004,operating,0,1,0
Financial Services|Small and Medium Businesses,16000000.0,operating,IND,Bangalore,3,2014-06-25,2015-02-10,2013,operating,0,1,0
Designers|Internet|Non Profit|Startups,2500000.0,operating,USA,Chicago,1,2014-06-17,2014-06-17,2012,operating,0,1,0
Biotechnology,250000.0,operating,USA,Dallas,1,2011-11-14,2011-11-14,2011,operating,0,1,0
Health Care Information Technology|mHealth,11705000.0,operating,USA,Schaumburg,7,2006-12-01,2013-07-01,2005,operating,0,1,0
Health Care,250000.0,operating,USA,Austin,1,2014-01-04,2014-01-04,2014,operating,0,1,0
Biotechnology,820800.0,operating,USA,Belvedere Tiburon,1,2009-09-18,2009-09-18,1990,operating,0,1,0
Software,7750000.0,operating,USA,Birmingham,2,2008-07-01,2014-02-24,2012,operating,0,1,0
Internet|Services|Software,300000.0,operating,USA,San Francisco,1,2013-06-25,2013-06-25,2012,operating,0,1,0
Education|Language Learning,18000.0,closed,USA,San Francisco,1,2009-09-11,2009-09-11,2009,fail,1,0,0
Health Care|Manufacturing,13797958.0,ipo,USA,Redwood City,3,2009-10-01,2010-12-22,1997,success,0,0,1
Mobile,1250000.0,operating,USA,Austin,1,2012-09-19,2012-09-19,2012,operating,0,1,0
Biotechnology,180000.0,operating,USA,Austin,1,2009-06-06,2009-06-06,2007,operating,0,1,0
Electronics,3791818.0,operating,FRA,Lyon,1,2015-07-21,2015-07-21,2012,operating,0,1,0
Customer Service|Marketplaces|Services,374157.957825345,closed,FIN,Helsinki,2,2015-06-10,2015-09-07,2015,fail,1,0,0
Fashion|Location Based Services|Mobile|Reviews and Recommendations,85000.0,operating,USA,San Francisco,1,2012-07-28,2012-07-28,2012,operating,0,1,0
Curated Web|E-Commerce|Gift Card,87200000.0,operating,USA,Chicago,5,2011-11-01,2015-01-22,2010,operating,0,1,0
Health and Wellness|Health Care|Incentives|Personal Health,952578.0,operating,GBR,London,1,2011-09-12,2011-09-12,2008,operating,0,1,0
Nanotechnology,113643.0,operating,GBR,San Francisco,1,2013-12-10,2013-12-10,2012,operating,0,1,0
Biotechnology|Health and Wellness|Medical,55874661.0,ipo,USA,San Francisco,1,2015-05-12,2015-05-12,1994,success,0,0,1
Consulting,6000.0,operating,USA,Saint Petersburg,1,2014-10-28,2014-10-28,2014,operating,0,1,0
Clean Technology,283500000.0,operating,USA,San Diego,4,2008-05-28,2012-04-02,2007,operating,0,1,0
Software,42446.9665578542,closed,USA,San Francisco,1,2015-09-20,2015-09-20,2014,fail,1,0,0
Certification Test|Education|Recruiting|Skill Assessment|Software|Training|Web Development,2000000.0,operating,FRA,Paris,3,2010-10-01,2013-03-01,2010,operating,0,1,0
Electronics,7000000.0,operating,CHN,Shenzhen,1,2015-07-20,2015-07-20,2011,operating,0,1,0
Clean Technology|Energy Efficiency|Internet of Things|Smart Building,600000.0,operating,USA,Boulder,2,2014-02-19,2014-12-11,2011,operating,0,1,0
Public Transportation,22757292.0,operating,USA,Alameda,3,2007-04-16,2015-09-01,2004,operating,0,1,0
Collaboration|Enterprise Software|Knowledge Management|Software,10000000.0,acquired,USA,Palo Alto,1,2001-07-24,2001-07-24,1997,success,0,0,1
Clean Energy|Clean Technology,6000000.0,operating,USA,San Leandro,2,2012-01-01,2013-03-28,2000,operating,0,1,0
Enterprise Software,,acquired,USA,Sunnyvale,1,2009-12-21,2009-12-21,2001,success,0,0,1
Curated Web|Forums|Lead Generation|Networking,642000.0,operating,USA,San Francisco,2,2012-07-01,2013-06-01,2012,operating,0,1,0
Software,,closed,USA,Orlando,1,2006-11-29,2006-11-29,2000,fail,1,0,0
Fashion,40000.0,operating,CHL,Santiago,1,2012-07-17,2012-07-17,2012,operating,0,1,0
Content|Curated Web|Digital Media|Translation,8361887.0,operating,BEL,Brussels,3,2012-11-19,2015-06-25,2011,operating,0,1,0
E-Commerce,,operating,USA,San Francisco,1,2013-01-01,2013-01-01,2012,operating,0,1,0
Apps|EdTech|Education|Enterprise Software|Language Learning|Mobile|Travel,2349768.0,operating,USA,Atlanta,6,2011-06-06,2014-11-19,2011,operating,0,1,0
Transportation,80000.0,operating,USA,Memphis,1,2015-05-13,2015-05-13,2000,operating,0,1,0
Enterprise Software,6500000.0,operating,SWE,Stockholm,1,2013-05-07,2013-05-07,2006,operating,0,1,0
Contact Management|Eyewear|Health Care,3000000.0,operating,USA,Chicago,3,2014-02-25,2014-11-25,2013,operating,0,1,0
Hardware + Software,77431466.0,operating,GBR,San Francisco,1,2011-12-14,2011-12-14,2012,operating,0,1,0
Big Data|Machine Learning|SaaS,500000.0,operating,USA,San Francisco,2,2015-04-06,2015-05-01,2014,operating,0,1,0
Semiconductors,,closed,GBR,London,1,2014-04-28,2014-04-28,2012,fail,1,0,0
P2P Money Transfer|Trading,150000.0,operating,MEX,San Francisco,1,2014-01-15,2014-01-15,2013,operating,0,1,0
Clean Technology|File Sharing|Mobile|Navigation|Real Time,,operating,DEU,Ludwigshafen Am Rhein-oggersheim,2,2014-01-01,2015-07-13,2010,operating,0,1,0
Messaging|Software,1000000.0,acquired,URY,Montevideo,1,2007-01-12,2007-01-12,1986,success,0,0,1
Internet,,operating,USA,San Francisco,1,2011-06-30,2011-06-30,2010,operating,0,1,0
Health and Wellness,5000000.0,acquired,USA,San Francisco,2,2012-12-20,2013-06-20,2012,success,0,0,1
Biotechnology,817620.0,operating,ESP,Noáin,1,2011-02-19,2011-02-19,2012,operating,0,1,0
Health Care,4282838.0,operating,GBR,Norwich,2,2012-02-13,2014-01-29,2007,operating,0,1,0
Game|Games|Social Games,,operating,DEU,Hamburg,1,2009-09-01,2009-09-01,2008,operating,0,1,0
Games|Media,4500000.0,ipo,USA,Providence,1,2009-10-15,2009-10-15,2012,success,0,0,1
Health and Wellness|K-12 Education,5900000.0,operating,USA,Nashville,2,2010-04-15,2011-06-28,2012,operating,0,1,0
Travel,1600000.0,closed,USA,Seattle,1,2013-07-18,2013-07-18,2012,fail,1,0,0
Biotechnology,27300055.0,operating,USA,Raleigh,4,2007-07-12,2009-12-03,1995,operating,0,1,0
Biotechnology,36300000.0,operating,USA,San Antonio,2,2013-11-21,2015-01-27,2009,operating,0,1,0
Curated Web,2500000.0,operating,USA,Encino,1,2010-09-30,2010-09-30,1995,operating,0,1,0
Doctors|Health Care|Healthcare Services|Medical,45000.0,operating,IND,Delhi,1,2014-12-24,2014-12-24,2013,operating,0,1,0
Design|Designers|E-Commerce|Fashion,45000.0,acquired,ARG,Buenos Aires,2,2011-09-01,2011-09-01,2010,success,0,0,1
Human Resources|Outsourcing|Small and Medium Businesses,30000000.0,ipo,USA,Bradenton,1,2003-03-07,2003-03-07,1993,success,0,0,1
Music,,acquired,USA,Dallas,1,1998-07-01,1998-07-01,1995,success,0,0,1
Social Business,705373.0,operating,GBR,London,2,2012-01-01,2014-12-01,2010,operating,0,1,0
Curated Web|E-Commerce|Lifestyle|Travel,33000.0,operating,IND,New Delhi,2,2012-05-01,2015-07-25,2012,operating,0,1,0
Fitness,42325.0,operating,DNK,Frederiksberg,1,2012-07-04,2012-07-04,2012,operating,0,1,0
Cloud Computing|Digital Media|Enterprise Software,6331724.0,operating,USA,Los Angeles,11,2011-01-01,2014-09-01,2010,operating,0,1,0
Biotechnology,8471104.0,operating,USA,Santa Monica,2,2015-03-13,2015-09-03,2013,operating,0,1,0
E-Commerce|Fashion|Retail|Women,16000.0,closed,GBR,London,1,2015-03-01,2015-03-01,2015,fail,1,0,0
Travel,12500000.0,operating,RUS,Moscow,3,2012-11-01,2014-07-10,2011,operating,0,1,0
Software,2290000.0,closed,FRA,Paris,1,2007-05-24,2007-05-24,2006,fail,1,0,0
Advertising|Big Data Analytics|Digital Media|Internet,116750070.0,operating,USA,New York,6,2009-10-06,2015-07-31,2009,operating,0,1,0
Semiconductors,8000000.0,ipo,USA,Tualatin,1,2010-08-31,2010-08-31,2012,success,0,0,1
Mobile,46255828.0,operating,CAN,Montréal,9,2005-01-13,2015-05-11,2004,operating,0,1,0
Manufacturing,1500000.0,operating,CHN,Beijing,1,2013-11-01,2013-11-01,2012,operating,0,1,0
Health Care,9500000.0,operating,USA,San Francisco,1,2011-02-15,2011-02-15,2012,operating,0,1,0
